filename,classe1,classe2,classe3,classe4,fundo,iluminação,tamanho base,resolução,total imagens
meanfilter_grayscale_095.jpg,caneta,apontador,grampos,tesoura,madeira,noite-escuro,,,
meanfilter_grayscale_043.jpg,garrafa,garfo,faca,saleiro,branco,escuro,,,
meanfilter_grayscale_036.jpg,perfume,colar,batom,bailarina,amarelo,noite-escuro,,,
meanfilter_grayscale_059.jpg,garrafa,garfo,faca,saleiro,amarelo,escuro,,,
meanfilter_grayscale_019.jpg,perfume,colar,batom,bailarina,branco,estourado,,,
meanfilter_grayscale_045.jpg,garrafa,garfo,faca,saleiro,branco,escuro,,,
meanfilter_grayscale_070.jpg,garrafa,garfo,faca,saleiro,preto,noite-escuro,,,
meanfilter_grayscale_099.jpg,caneta,apontador,grampos,tesoura,estampado,dia-claro,,,
meanfilter_grayscale_046.jpg,garrafa,garfo,faca,saleiro,branco,estourado,,,
meanfilter_grayscale_102.jpg,caneta,apontador,grampos,tesoura,estampado,dia-escuro,,,
meanfilter_grayscale_049.jpg,garrafa,garfo,faca,saleiro,amarelo,dia-sol,,,
meanfilter_grayscale_064.jpg,garrafa,garfo,faca,saleiro,preto,dia-escuro,,,
meanfilter_grayscale_054.jpg,garrafa,garfo,faca,saleiro,amarelo,dia-sombra,,,
meanfilter_grayscale_082.jpg,caneta,apontador,grampos,tesoura,branco,noite-escuro,,,
meanfilter_grayscale_042.jpg,garrafa,garfo,faca,saleiro,branco,dia-sombra,,,
meanfilter_grayscale_078.jpg,caneta,apontador,grampos,tesoura,branco,dia-escuro,,,
meanfilter_grayscale_074.jpg,caneta,apontador,grampos,tesoura,branco,dia-claro,,,
meanfilter_grayscale_081.jpg,caneta,apontador,grampos,tesoura,branco,noite-claro,,,
meanfilter_grayscale_008.jpg,perfume,colar,batom,bailarina,madeira,noite-escuro,,,
meanfilter_grayscale_075.jpg,caneta,apontador,grampos,tesoura,branco,dia-claro,,,
meanfilter_grayscale_024.jpg,perfume,colar,batom,bailarina,branco,luzartificial,,,
meanfilter_grayscale_104.jpg,caneta,apontador,grampos,tesoura,estampado,noite-claro,,,
meanfilter_grayscale_048.jpg,garrafa,garfo,faca,saleiro,branco,estourado,,,
meanfilter_grayscale_071.jpg,garrafa,garfo,faca,saleiro,preto,noite-escuro,,,
meanfilter_grayscale_083.jpg,caneta,apontador,grampos,tesoura,branco,noite-escuro,,,
meanfilter_grayscale_002.jpg,perfume,colar,batom,bailarina,madeira,dia-claro,,,
meanfilter_grayscale_004.jpg,perfume,colar,batom,bailarina,madeira,dia-escuro,,,
meanfilter_grayscale_097.jpg,caneta,apontador,grampos,tesoura,estampado,dia-claro,,,
meanfilter_grayscale_014.jpg,perfume,colar,batom,bailarina,branco,claro,,,
meanfilter_grayscale_087.jpg,caneta,apontador,grampos,tesoura,madeira,dia-claro,,,
meanfilter_grayscale_107.jpg,caneta,apontador,grampos,tesoura,estampado,noite-escuro,,,
